Lookout!,The Overlook > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119662507/lookout,5.11b,39.51825,-105.39656,The Overlook,Staunton Rocks
Maken Bacon,The Whistle Pig > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/108302389/maken-bacon,5.10a,39.5161,-105.3982,The Whistle Pig,Staunton Rocks
Mantelpiece,Chimney Rock > Elk Creek Spires > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/115174463/mantelpiece,5.12-,39.50653,-105.4142,Chimney Rock,Elk Creek Spires
Marmot Tower Crack,Marmot Tower > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119744031/marmot-tower-crack,5.9+,39.51777,-105.39611,Marmot Tower,Staunton Rocks
Mason Man,2. Canyon Amphitheater > The Pooka > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/114810780/mason-man,5.9,39.5157,-105.39341,2. Canyon Amphitheater,The Pooka
Master Sword,The Dungeon Tower > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/116130740/master-sword,5.12b,39.5175,-105.39591,The Dungeon Tower,Staunton Rocks
"Mean, Mean Pride",Sawmill  Wall > Sawmill Crag > Old Mill Area > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121533623/mean-mean-pride,5.10d,39.52299,-105.38838,Sawmill  Wall,Sawmill Crag
Medusa Cascade,The Cascades Wall > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/111882305/medusa-cascade,5.10b/c,39.51607,-105.39462,The Cascades Wall,Meadow Dome
Mongo Like Crack,2. Blazing Saddles > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/111764820/mongo-like-crack,5.10b/c,39.50346,-105.37002,2. Blazing Saddles,Dines Cliff
Mongolian Boodog,The Whistle Pig > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/114207852/mongolian-boodog,5.9+,39.5161,-105.3982,The Whistle Pig,Staunton Rocks
Mr. Magnetar,3. Astronomy Wall > The Pooka > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/115681997/mr-magnetar,5.10-,39.51539,-105.39388,3. Astronomy Wall,The Pooka
"Never Named, No.  39",Upper Tan Corridor > Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/108315667/never-named-no-39,5.10a,39.51669,-105.39578,Upper Tan Corridor,Tan Corridor
New Beginnings,The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/108159532/new-beginnings,5.12b,39.5168,-105.3962,The Dungeon,Staunton Rocks
No Can Defense,Sawmill West Buttress > Sawmill Crag > Old Mill Area > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121215200/no-can-defense,5.11c,39.52312,-105.38865,Sawmill West Buttress,Sawmill Crag
No Excuse,The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/114776484/no-excuse,5.13b,39.5168,-105.3962,The Dungeon,Staunton Rocks
No Opportunity Missed,Upper Tan Corridor > Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/109209914/no-opportunity-missed,5.11-,39.51669,-105.39578,Upper Tan Corridor,Tan Corridor
No Poppa (Link Up),The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/117931862/no-poppa-link-up,5.13d,39.5168,-105.3962,The Dungeon,Staunton Rocks
No Rain,Upper Tan Corridor > Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/108182590/no-rain,5.10+,39.51669,-105.39578,Upper Tan Corridor,Tan Corridor
Old Growth,Sawmill  Wall > Sawmill Crag > Old Mill Area > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121243715/old-growth,5.10d,39.52299,-105.38838,Sawmill  Wall,Sawmill Crag
One Last Look,The Overlook > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121281065/one-last-look,5.11a,39.51825,-105.39656,The Overlook,Staunton Rocks
One Toprope,Marmot Tower > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/112872221/one-toprope,5.10d,39.51777,-105.39611,Marmot Tower,Staunton Rocks
Optunivor,The Raven > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/114187458/optunivor,5.9,39.50262,-105.36836,The Raven,Staunton State Park
Original Roughneck,Main Wall > Roughneck Area > Old Mill Area > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121074860/original-roughneck,5.10b/c,39.52249,-105.39054,Main Wall,Roughneck Area
Over It,The Overlook > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119650488/over-it,5.12d,39.51825,-105.39656,The Overlook,Staunton Rocks
Overpressure,The Overlook > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121281003/overpressure,5.10d,39.51825,-105.39656,The Overlook,Staunton Rocks
Pegging the Fun Meter,The Red Wall > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/114218005/pegging-the-fun-meter,5.10b/c,39.51391,-105.39062,The Red Wall,Staunton State Park
Penstemon,2. Blazing Saddles > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/113259160/penstemon,5.9,39.50346,-105.37002,2. Blazing Saddles,Dines Cliff
Permission Granted,Permission Wall > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/108181236/permission-granted,5.9,39.51583,-105.39601,Permission Wall,Meadow Dome
Pilgrimage to Lordran,The Raven > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/116678036/pilgrimage-to-lordran,5.9,39.50262,-105.36836,The Raven,Staunton State Park
Pinky and the Brain,5. Cartoon Wall > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119490848/pinky-and-the-brain,5.9+,39.50327,-105.36968,5. Cartoon Wall,Dines Cliff
Planck Time,2. Canyon Amphitheater > The Pooka > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/117307864/planck-time,5.11b,39.5157,-105.39341,2. Canyon Amphitheater,The Pooka
Playing in the Updraft,The Raven > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/113567839/playing-in-the-updraft,5.9,39.50262,-105.36836,The Raven,Staunton State Park
Playing With Fire,The Red Wall > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/114218033/playing-with-fire,5.10d,39.51391,-105.39062,The Red Wall,Staunton State Park
